,venture,price,Emi,marketed,location,no_beds,possession_date,Avg
215,NA,₹1.8 Cr,EMI starts at ₹89.36 K,NA,RV Advaita Block A,NA,2225 sq.ft,Build Up Area2225 sq.ftAvg. Price₹8.09 K/sq.ft
216,NA,₹58.0 L,EMI starts at ₹30.71 K,NA,"Sri Venkateswara Nilayam Gajularamaram,ALEAP Industrial Area, Gajularamaram,Hyderabad",NA,1233 sq.ft,Build Up Area1233 sq.ftAvg. Price₹4.70 K/sq.ft
217,NA,₹62.0 L,EMI starts at ₹32.83 K,NA,"Sai samhita,ALEAP Industrial Area, Gajularamaram,Hyderabad",NA,1300 sq.ft,Build Up Area1300 sq.ftAvg. Price₹4.77 K/sq.ft
218,NA,₹1.56 Cr,EMI starts at ₹77.45 K,NA,"GSR Groups Mokila,Mokila, Hyderabad",NA,2600 sq.ft,Build Up Area2600 sq.ftAvg. Price₹6.00 K/sq.ft
219,NA,₹1.5 Cr,EMI starts at ₹74.47 K,NA,"Peacock avenue,Silver Oak Bungalows, Cherlapalli,Hyderabad",NA,3000 sq.ft,Build Up Area3000 sq.ftAvg. Price₹5.00 K/sq.ft
220,NA,₹42.72 L,EMI starts at ₹22.62 K,NA,"Edulabad, Hyderabad",NA,2403 sq.ft,Plot Area2403 sq.ftAvg. Price₹1.78 K/sq.ft
221,NA,₹1.45 Cr,EMI starts at ₹71.99 K,NA,"Hasnabad, Santosh Nagar,Hyderabad",NA,2100 sq.ft,Build Up Area2100 sq.ftAvg. Price₹6.90 K/sq.ft
222,NA,₹27.0 L,EMI starts at ₹14.30 K,NA,"Devatabowli, Hyderabad",NA,900 sq.ft,Plot Area900 sq.ftAvg. Price₹3.00 K/sq.ft
223,NA,₹86.0 L,EMI starts at ₹42.70 K,NA,"Sai Nagar, Kompally,Hyderabad",NA,1800 sq.yd,Plot Area1800 sq.ydAvg. Price₹4.78 K/sq.yd
224,NA,₹65.0 L,EMI starts at ₹34.42 K,NA,"Palm Cova,Bayanna Nagar, Boduppal,Hyderabad",NA,1064 sq.ft,Build Up Area1064 sq.ftAvg. Price₹6.11 K/sq.ft
225,NA,₹78.0 L,EMI starts at ₹38.72 K,NA,Pragati NJR KLR Nagar,NA,1800 sq.ft,Build Up Area1800 sq.ftAvg. Price₹4.33 K/sq.ft
226,NA,₹44.0 L,EMI starts at ₹23.30 K,NA,"Jaya platinum appartments ,Pragathi Nagar, Hyderabad",NA,1200 sq.ft,Build Up Area1200 sq.ftAvg. Price₹3.67 K/sq.ft
227,G K Zenith,₹61.36 L - 99.32 L,EMI starts at ₹32.49 K,By  GK Builders and Developers,"Yapral, Secunderabad","2, 3 BHK Flats for sale in Yapral","Sep, 2022","Possession StartsSep, 2022Avg. Price₹5.20 K/sq.ft"
228,Aspira Wondur & White Rock,₹24.4 L - 43.73 L,EMI starts at ₹12.92 K,By  MKT Praneeth Homes,"Isnapur,North Hyderabad,Hyderabad","1, 2 BHK Flats for sale in Isnapur","Dec, 2021","Possession StartsDec, 2021Avg. Price₹3.81 K/sq.ft"
229,Dinesh Auric,₹46.75 L - 81.9 L,EMI starts at ₹24.76 K,By  Dinesh Projects,"Bachupally,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Bachupally","Sep, 2023","Possession StartsSep, 2023Avg. Price₹4.50 K/sq.ft"
230,Engineers Sri Tirumala Millennium Phase II,₹54.44 L - 89.98 L,EMI starts at ₹28.83 K,By  Engineers Associates Pvt Ltd,"Nacharam, Hyderabad","2, 3 BHK Flats for sale in Nacharam","Mar, 2022","Possession StartsMar, 2022Avg. Price₹5.00 K/sq.ft"
231,Kalpataru Avante,₹1.05 Cr - 1.24 Cr,EMI starts at ₹52.13 K,By   Kalpataru Group ,"Sanath Nagar,North Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Sanath Nagar","Dec, 2025","Possession StartsDec, 2025Avg. Price₹6.00 K/sq.ft"
232,NA,₹1.5 Cr,EMI starts at ₹74.47 K,NA,"Krishna Nagar, Yousufguda,Hyderabad",NA,1215 sq.ft,Plot Area1215 sq.ftAvg. Price₹12.35 K/sq.ft
233,NA,₹4.5 Cr,EMI starts at ₹2.23 Lacs,NA,"Tellapur, Hyderabad",NA,4225 sq.ft,Build Up Area4225 sq.ftAvg. Price₹10.65 K/sq.ft
234,NA,₹55.0 L,EMI starts at ₹29.13 K,NA,"Alkapur township,Neknampur, Hyderabad",NA,1080 sq.ft,Build Up Area1080 sq.ftAvg. Price₹5.09 K/sq.ft
235,NA,₹12.0 Cr,EMI starts at ₹5.96 Lacs,NA,"Jubilee Hills, Hyderabad",NA,5400 sq.ft,Build Up Area5400 sq.ftAvg. Price₹22.22 K/sq.ft
236,NA,₹1.5 Cr,EMI starts at ₹74.47 K,NA,Meghna Ambooja,NA,2100 sq.ft,Build Up Area2100 sq.ftAvg. Price₹7.14 K/sq.ft
237,NA,₹71.35 L,EMI starts at ₹37.78 K,NA, Apartment,NA,1595 sq.ft,Build Up Area1595 sq.ftAvg. Price₹4.47 K/sq.ft
238,NA,₹1.2 Cr,EMI starts at ₹59.58 K,NA,Archies Splendor,NA,1600 sq.ft,Build Up Area1600 sq.ftAvg. Price₹7.50 K/sq.ft
239,NA,₹63.0 L,EMI starts at ₹33.36 K,NA,"Medchal, Hyderabad",NA,1900 sq.ft,Build Up Area1900 sq.ftAvg. Price₹3.31 K/sq.ft
240,NA,₹1.9 Cr,EMI starts at ₹94.33 K,NA,Srinivasa Residency,NA,5400 sq.ft,Build Up Area5400 sq.ftAvg. Price₹3.52 K/sq.ft
241,NA,₹83.0 L,EMI starts at ₹41.21 K,NA,Bhavya Tulasi Vanam by Bhavya Constructions,NA,1135 sq.ft,Build Up Area1135 sq.ftAvg. Price₹7.31 K/sq.ft
242,NA,₹1.2 Cr,EMI starts at ₹59.58 K,NA,White Waters At Y,NA,1575 sq.ft,Build Up Area1575 sq.ftAvg. Price₹7.62 K/sq.ft
243,NA,₹1.35 Cr,EMI starts at ₹67.02 K,NA,"Alkapur Township,Manikonda, Hyderabad",NA,2175 sq.ft,Build Up Area2175 sq.ftAvg. Price₹6.21 K/sq.ft
244,NA,₹40.0 L,EMI starts at ₹21.18 K,NA,Surya Saketh Arcade,NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹3.64 K/sq.ft
245,NA,₹65.0 L,EMI starts at ₹34.42 K,NA,"Sathavahana Residency,Vijaya Gardens, Nagole,Hyderabad",NA,1100 sq.ft,Build Up Area1100 sq.ftAvg. Price₹5.91 K/sq.ft
246,N Square West Woods,₹1.0 Cr - 1.5 Cr,EMI starts at ₹49.66 K,By  N Square Projects,"Sheriguda,Hyderabad",3 BHK Villa for sale in Sheriguda,"Jan, 2024","Possession StartsJan, 2024Avg. Price₹3.85 K/sq.ft"
247,Trishala Saffron Elite,₹66.96 L - 1.15 Cr,EMI starts at ₹35.46 K,By  Trishala Infrastructure ,"Nallagandla,West Hyderabad,Hyderabad","2, 3 BHK Flats for sale in Nallagandla","May, 2025","Possession StartsMay, 2025Avg. Price₹6.00 K/sq.ft"
248,Anuhar Art Of Living,₹77.62 L - 1.13 Cr,EMI starts at ₹38.54 K,By  Anuhar Homes Pvt Ltd,"Manikonda, Hyderabad ","2, 3 BHK Flats for sale in Puppalaguda",Ready to Move,Possession StatusReady to MoveAvg. Price₹6.20 K/sq.ft
249,NA,₹1.27 Cr,EMI starts at ₹63.05 K,NA,Accurate Wind Chimes,NA,1655 sq.ft,Build Up Area1655 sq.ftAvg. Price₹7.67 K/sq.ft
250,NA,₹35.0 L,EMI starts at ₹18.53 K,NA,"Gurudatta,Ashok Nagar, Ramachandra Puram,Hyderabad",NA,836 sq.ft,Build Up Area836 sq.ftAvg. Price₹4.19 K/sq.ft
251,NA,₹1.1 Cr,EMI starts at ₹54.61 K,NA,IJM Raintree Park Phase 1,NA,1495 sq.ft,Build Up Area1495 sq.ftAvg. Price₹7.36 K/sq.ft
252,NA,₹2.25 Cr,EMI starts at ₹1.12 Lacs,NA,"Green county layout,Kompally, Hyderabad",NA,4650 sq.ft,Build Up Area4650 sq.ftAvg. Price₹4.84 K/sq.ft
253,NA,₹55.0 L,EMI starts at ₹29.13 K,NA,Akshay Homes,NA,1050 sq.ft,Build Up Area1050 sq.ftAvg. Price₹5.24 K/sq.ft
254,NA,₹1.25 Cr,EMI starts at ₹62.06 K,NA,Ramsri Residency,NA,2200 sq.ft,Build Up Area2200 sq.ftAvg. Price₹5.68 K/sq.ft
255,NA,₹48.0 L,EMI starts at ₹25.42 K,NA,"Ganesh Enclave,Gautham Nagar, Vanasthalipuram,Hyderabad",NA,1020 sq.ft,Build Up Area1020 sq.ftAvg. Price₹4.71 K/sq.ft
256,NA,₹75.0 L,EMI starts at ₹39.72 K,NA,"Gun Foundry, Basheer Bagh,Hyderabad",NA,860 sq.ft,Build Up Area860 sq.ftAvg. Price₹8.72 K/sq.ft
257,NA,₹35.0 L,EMI starts at ₹18.53 K,NA,"kausalya colony,Miyapur, Hyderabad",NA,1000 sq.ft,Build Up Area1000 sq.ftAvg. Price₹3.50 K/sq.ft
258,NA,₹62.0 L,EMI starts at ₹32.83 K,NA,Urbanrise Codename Central Park,NA,1254 sq.ft,Build Up Area1254 sq.ftAvg. Price₹4.94 K/sq.ft
